order_id,customer_id,order_date,order_status,shipping_city,shipping_country
1,1071,2024-07-21,delivered,Toronto,Australia
2,85,2024-09-21,cancelled,Berlin,Australia
3,1082,2023-08-18,delivered,Toronto,USA
4,991,2024-01-28,delivered,Sydney,India
5,711,2024-09-05,cancelled,New York,India
6,209,2024-12-23,delivered,Los Angeles,UK
7,1272,2024-10-11,processing,Mumbai,Germany
8,1235,2023-09-29,processing,Sydney,UK
9,39,2023-05-23,shipped,Berlin,Canada
10,1276,2023-12-24,delivered,Los Angeles,USA
11,926,2024-06-25,delivered,Toronto,Australia
12,762,2023-12-26,delivered,London,India
13,1437,2023-12-19,shipped,Paris,USA
14,946,2024-09-03,shipped,Berlin,USA
15,1470,2023-09-21,delivered,Toronto,UK
16,52,2024-09-19,delivered,Berlin,India
17,374,2023-10-24,delivered,London,Australia
18,931,2023-08-28,shipped,Mumbai,Australia
19,156,2023-11-28,shipped,New York,Germany
20,1114,2024-07-10,processing,Sydney,Germany
21,679,2023-04-02,shipped,New York,UK
22,351,2023-05-24,shipped,Paris,UK
23,69,2024-11-25,shipped,New York,Canada
24,1187,2023-05-09,delivered,Mumbai,France
25,1266,2024-02-19,delivered,Sydney,France
26,1407,2024-02-27,processing,Sydney,USA
27,1076,2023-12-24,delivered,Mumbai,Germany
28,654,2024-04-15,delivered,London,Australia
29,63,2023-06-17,delivered,Los Angeles,India
30,509,2024-02-08,delivered,Mumbai,USA
31,292,2023-09-29,delivered,London,India
32,1115,2024-04-28,delivered,London,Australia
33,1448,2023-04-14,delivered,Toronto,Germany
34,821,2024-02-21,delivered,Mumbai,Germany
35,1389,2023-05-16,delivered,New York,Canada
36,150,2023-07-23,shipped,Berlin,UK
37,1295,2023-06-09,delivered,Sydney,India
38,881,2023-05-14,delivered,Paris,UK
39,1140,2024-08-25,delivered,Los Angeles,UK
40,704,2023-07-28,delivered,Sydney,France
41,516,2024-11-07,delivered,Berlin,UK
42,1265,2024-12-09,shipped,Toronto,France
43,30,2024-02-22,shipped,Mumbai,Australia
44,1167,2023-04-15,delivered,Toronto,USA
45,326,2023-10-01,delivered,Los Angeles,India
46,949,2024-08-05,delivered,Berlin,France
47,16,2023-09-26,cancelled,Los Angeles,Germany
48,111,2023-03-05,cancelled,Los Angeles,Canada
49,872,2024-02-11,delivered,New York,India
50,713,2024-09-08,delivered,Mumbai,Canada
51,107,2024-08-04,shipped,Berlin,Germany
52,379,2023-05-08,shipped,New York,Australia
53,162,2024-05-06,delivered,Sydney,India
54,283,2023-06-10,cancelled,New York,USA
55,269,2023-06-09,delivered,Sydney,Canada
56,484,2024-09-30,delivered,Paris,India
57,667,2023-07-02,shipped,New York,Germany
58,1097,2023-07-12,delivered,London,Canada
59,1221,2023-01-01,shipped,Toronto,France
60,1267,2024-09-27,delivered,Toronto,Australia
61,598,2024-08-01,delivered,London,Canada
62,799,2024-04-02,delivered,Sydney,Australia
63,1283,2024-07-01,delivered,Sydney,Australia
64,798,2023-04-21,delivered,Mumbai,France
65,1173,2023-12-01,cancelled,Los Angeles,India
66,390,2023-09-14,delivered,Berlin,Australia
67,416,2023-03-10,shipped,Berlin,France
68,426,2023-12-21,delivered,Berlin,Canada
69,997,2024-11-03,shipped,New York,Canada
70,1241,2023-01-30,delivered,Berlin,Australia
71,867,2023-08-01,delivered,Berlin,France
72,86,2023-06-01,delivered,Sydney,Canada
73,1240,2023-06-23,delivered,Berlin,Australia
74,423,2024-10-25,delivered,Toronto,India
75,1344,2023-12-08,delivered,London,USA
76,118,2023-12-07,processing,Paris,UK
77,959,2024-07-09,processing,Sydney,India
78,882,2023-04-23,cancelled,Los Angeles,India
79,992,2023-12-22,delivered,London,UK
80,415,2023-11-10,cancelled,Berlin,Germany
81,599,2024-03-11,shipped,Los Angeles,Australia
82,40,2024-12-30,delivered,Los Angeles,UK
83,1185,2024-07-15,delivered,London,USA
84,703,2023-10-18,delivered,London,Australia
85,537,2024-08-27,delivered,London,UK
86,420,2023-05-05,delivered,Sydney,UK
87,664,2023-01-23,delivered,Sydney,USA
88,95,2023-05-30,shipped,Paris,France
89,1466,2023-09-06,delivered,London,UK
90,973,2024-01-08,delivered,Paris,India
91,650,2024-03-25,shipped,New York,Germany
92,1490,2024-10-26,shipped,Mumbai,India
93,288,2024-01-08,cancelled,Toronto,UK
94,412,2024-01-01,delivered,Mumbai,UK
95,400,2023-02-06,delivered,Paris,USA
96,528,2023-01-26,delivered,Toronto,USA
97,1042,2024-02-07,delivered,Berlin,Australia
98,136,2023-11-16,delivered,New York,Germany
99,1488,2024-09-04,delivered,Los Angeles,Canada
100,759,2023-04-28,cancelled,London,USA
101,1272,2023-01-19,delivered,Berlin,Canada
102,843,2023-11-24,delivered,Los Angeles,Germany
103,710,2023-06-23,delivered,Sydney,UK
104,1025,2023-02-06,shipped,Toronto,Australia
105,381,2024-06-12,delivered,Los Angeles,UK
106,509,2023-03-23,delivered,Mumbai,India
107,1484,2024-03-20,delivered,London,Australia
108,806,2023-07-25,delivered,London,Canada
109,476,2023-05-07,delivered,Mumbai,India
110,954,2023-10-05,delivered,Paris,Germany
111,849,2024-08-08,delivered,Paris,Germany
112,897,2023-10-14,shipped,Sydney,USA
113,32,2024-07-02,delivered,Toronto,Canada
114,118,2023-04-02,shipped,London,Australia
115,1208,2024-07-18,delivered,New York,USA
116,191,2023-06-22,delivered,Berlin,Canada
117,74,2024-05-09,delivered,Toronto,India
118,623,2024-02-18,delivered,Toronto,USA
119,1127,2024-11-09,delivered,Los Angeles,USA
120,871,2023-10-10,delivered,Toronto,Germany
121,586,2023-02-18,shipped,Sydney,Germany
122,420,2023-01-14,shipped,Mumbai,UK
123,473,2024-08-26,shipped,Berlin,UK
124,114,2024-01-19,delivered,New York,Germany
125,1403,2024-07-19,delivered,Los Angeles,Germany
126,1337,2023-06-21,delivered,Berlin,India
127,330,2023-09-09,delivered,Mumbai,USA
128,339,2023-01-22,delivered,Mumbai,UK
129,238,2024-12-02,delivered,Paris,Germany
130,1197,2024-05-02,processing,Toronto,Canada
131,79,2024-11-12,delivered,Sydney,Canada
132,464,2023-07-13,delivered,London,UK
133,605,2024-03-22,delivered,Paris,Canada
134,562,2024-05-10,delivered,London,Australia
135,285,2023-08-20,processing,Berlin,USA
136,223,2024-09-11,delivered,New York,UK
137,593,2024-11-22,cancelled,London,Australia
138,1290,2024-10-07,delivered,Sydney,Germany
139,373,2024-06-23,delivered,Berlin,India
140,1257,2023-07-22,shipped,Los Angeles,India
141,911,2023-07-25,delivered,Toronto,Australia
142,828,2024-12-04,delivered,New York,Canada
143,236,2023-01-08,delivered,Mumbai,USA
144,671,2024-06-06,delivered,Sydney,Germany
145,828,2024-05-30,shipped,Sydney,France
146,763,2024-03-30,shipped,New York,USA
147,1338,2024-12-23,shipped,Los Angeles,Canada
148,380,2023-08-16,delivered,New York,USA
149,794,2023-09-06,delivered,Berlin,India
150,614,2023-02-27,delivered,New York,France
151,563,2023-11-20,shipped,New York,France
152,420,2023-07-10,cancelled,New York,USA
153,52,2023-09-08,delivered,Mumbai,India
154,819,2024-09-01,delivered,Berlin,Germany
155,205,2024-11-13,delivered,Paris,India
156,1001,2023-05-16,delivered,Toronto,Australia
157,731,2023-09-29,delivered,London,Germany
158,257,2024-11-08,delivered,Paris,France
159,185,2023-02-15,delivered,New York,UK
160,145,2023-03-09,shipped,Los Angeles,UK
161,1038,2023-04-29,shipped,Sydney,Germany
162,246,2024-03-10,cancelled,Los Angeles,UK
163,187,2023-04-20,delivered,Berlin,Germany
164,1361,2024-12-07,delivered,Toronto,Canada
165,1283,2023-11-23,delivered,New York,Germany
166,866,2024-01-02,delivered,Berlin,Canada
167,40,2023-06-30,delivered,London,Australia
168,601,2023-12-10,shipped,Toronto,France
169,962,2024-04-28,delivered,Toronto,UK
170,1442,2024-07-02,cancelled,Berlin,Australia
171,986,2024-07-04,shipped,Paris,Australia
172,1375,2024-02-26,shipped,Sydney,India
173,9,2024-10-22,shipped,Los Angeles,India
174,350,2024-08-19,delivered,Paris,France
175,84,2024-07-06,shipped,Toronto,USA
176,533,2023-02-10,delivered,Los Angeles,USA
177,989,2023-01-06,processing,Toronto,Australia
178,358,2023-06-05,delivered,Mumbai,Australia
179,378,2024-04-29,delivered,Sydney,India
180,172,2023-10-28,delivered,Toronto,France
181,1049,2023-10-21,delivered,Toronto,Germany
182,393,2024-10-07,delivered,London,Germany
183,1127,2024-10-15,delivered,Los Angeles,UK
184,702,2024-10-25,processing,London,France
185,1260,2023-08-18,delivered,Los Angeles,USA
186,1434,2024-05-19,delivered,Sydney,France
187,549,2023-07-18,delivered,Sydney,France
188,784,2023-05-20,delivered,Mumbai,India
189,332,2023-05-15,delivered,London,UK
190,794,2023-09-07,shipped,London,Germany
191,649,2023-11-10,delivered,London,Australia
192,983,2024-08-29,delivered,Sydney,USA
193,1053,2023-03-29,delivered,Sydney,UK
194,543,2024-06-20,delivered,Berlin,USA
195,1043,2024-01-23,delivered,London,USA
196,1172,2023-07-30,shipped,Mumbai,Germany
197,1495,2023-12-26,delivered,Paris,Australia
198,491,2023-08-07,delivered,Paris,Australia
199,283,2024-03-11,delivered,Toronto,India
200,862,2023-11-13,delivered,New York,Germany
201,113,2023-05-01,shipped,London,UK
202,1479,2023-03-27,delivered,New York,Canada
203,1354,2024-02-04,delivered,New York,UK
204,1279,2024-10-20,shipped,Toronto,UK
205,1423,2023-09-09,delivered,New York,Canada
206,862,2024-06-19,processing,Mumbai,USA
207,610,2024-04-25,delivered,Sydney,France
208,508,2024-11-11,delivered,New York,Canada
209,466,2024-08-22,processing,Sydney,France
210,824,2024-02-18,shipped,Sydney,USA
211,1431,2024-04-24,delivered,Paris,Canada
212,609,2024-10-17,shipped,Sydney,Germany
213,1122,2023-10-19,delivered,New York,UK
214,290,2023-08-27,delivered,Los Angeles,Canada
215,868,2023-01-08,delivered,Mumbai,Canada
216,1180,2024-08-26,delivered,London,USA
217,782,2024-08-07,shipped,Mumbai,Germany
218,162,2023-03-18,delivered,Mumbai,Canada
219,624,2024-02-26,delivered,London,Germany
220,717,2023-12-05,shipped,New York,France
221,1121,2023-03-28,delivered,Toronto,Canada
222,1401,2024-12-16,delivered,Los Angeles,Germany
223,567,2023-06-06,delivered,Toronto,UK
224,1474,2023-02-19,delivered,Toronto,USA
225,994,2024-03-10,shipped,New York,Australia
226,1141,2024-06-23,delivered,Berlin,Germany
227,1213,2023-01-24,delivered,New York,USA
228,1500,2024-04-25,shipped,Paris,Australia
229,1347,2024-01-24,delivered,Berlin,Canada
230,596,2023-03-17,delivered,Sydney,Canada
231,1204,2023-05-06,processing,Los Angeles,France
232,1205,2024-02-19,delivered,Berlin,USA
233,959,2023-08-05,delivered,New York,UK
234,1013,2024-11-15,delivered,New York,India
235,1311,2024-08-20,delivered,Toronto,UK
236,475,2024-12-19,delivered,New York,Germany
237,618,2023-07-09,delivered,Sydney,UK
238,641,2024-12-08,shipped,Paris,Australia
239,262,2023-11-11,delivered,New York,USA
240,162,2023-09-11,delivered,London,Canada
241,181,2023-02-06,shipped,London,USA
242,725,2023-02-08,delivered,Toronto,USA
243,469,2024-05-20,shipped,Berlin,Canada
244,21,2023-12-01,delivered,Berlin,Australia
245,1299,2023-06-15,delivered,London,USA
246,260,2024-03-24,processing,Paris,UK
247,1357,2023-07-04,delivered,Los Angeles,Germany
248,466,2024-02-26,cancelled,Sydney,India
249,1140,2023-09-20,delivered,Mumbai,Germany
250,1437,2024-08-24,delivered,Sydney,USA
251,537,2024-08-22,delivered,Sydney,Australia
252,952,2023-12-15,delivered,Paris,Canada
253,766,2023-09-14,shipped,London,France
254,959,2023-09-22,delivered,Sydney,Australia
255,934,2024-08-11,shipped,Paris,USA
256,851,2023-08-28,delivered,Los Angeles,USA
257,1281,2023-06-02,delivered,Berlin,France
258,1192,2023-03-03,delivered,London,Germany
259,533,2023-12-07,delivered,Mumbai,Australia
260,15,2023-12-18,delivered,New York,Germany
261,50,2024-09-05,delivered,Sydney,India
262,999,2023-06-11,delivered,Los Angeles,France
263,304,2023-10-06,shipped,Los Angeles,Canada
264,416,2024-08-13,shipped,Los Angeles,India
265,305,2024-08-24,delivered,Berlin,USA
266,196,2023-10-08,delivered,Paris,UK
267,813,2023-12-02,delivered,Toronto,Germany
268,800,2023-08-10,delivered,Sydney,Germany
269,388,2024-11-11,delivered,New York,Australia
270,757,2023-03-28,delivered,Sydney,India
271,455,2024-11-12,shipped,London,India
272,713,2024-05-14,delivered,Mumbai,Germany
273,705,2024-01-24,delivered,Paris,Canada
274,848,2023-01-24,delivered,Los Angeles,France
275,1334,2023-12-14,processing,Mumbai,Canada
276,1151,2023-10-25,delivered,Sydney,Germany
277,175,2023-04-28,shipped,Berlin,Australia
278,1158,2024-04-24,cancelled,Los Angeles,USA
279,1090,2024-12-09,shipped,Paris,Germany
280,1417,2024-02-15,cancelled,London,USA
281,1389,2024-06-05,delivered,Mumbai,Australia
282,279,2023-02-19,delivered,New York,USA
